Area_sqft,Bedrooms,Bathrooms,Age_years,Location,House_Type,Price
1660,1,2,39,Downtown,Townhouse,654544.0662394846
4572,3,2,15,Coastal,Villa,2952075.096747376
3892,4,3,29,Suburb,Bungalow,421189.2035516727
1266,2,1,29,Downtown,Townhouse,132041.62305990787
4244,4,2,11,Suburb,Villa,1524172.2359110725
3971,4,1,32,Rural,Bungalow,476192.6026787928
3719,5,2,2,Rural,Apartment,207470.58092057455
930,2,3,47,Rural,Townhouse,99413.43810600766
2485,4,3,14,Coastal,Apartment,570937.9282138363
1569,4,2,20,Suburb,Bungalow,543679.7396714776
3191,2,3,22,Rural,Townhouse,256664.74039395587
3233,2,2,11,Downtown,Bungalow,1241945.9725237754
1984,4,3,27,Rural,Apartment,192840.46957957465
4185,2,1,3,Rural,Townhouse,913405.4679154231
4917,4,3,17,Rural,Apartment,547704.9362949021
3704,4,1,44,Coastal,Bungalow,945047.151663801
1274,5,3,28,Downtown,Bungalow,288261.7105383978
1882,1,1,29,Suburb,Apartment,328322.34239761496
3358,4,3,21,Downtown,Townhouse,972153.7313116775
2847,3,1,47,Suburb,Apartment,132142.72771030755
3547,1,2,16,Coastal,Bungalow,1438168.8327655972
1775,1,2,37,Coastal,Apartment,175125.09815622194
2606,1,1,20,Coastal,Bungalow,382587.9136711591
989,5,3,6,Coastal,Apartment,347346.63575375086
3534,4,1,19,Suburb,Townhouse,585465.9519135568
3805,5,3,5,Rural,Townhouse,780226.7329008844
2699,4,2,3,Suburb,Apartment,317021.4766207624
2067,5,3,1,Downtown,Apartment,891232.9003981485
2328,5,2,38,Coastal,Townhouse,225678.45871834387
4002,3,3,15,Coastal,Bungalow,1088387.3223368379
4356,5,3,34,Downtown,Townhouse,1906539.4462686346
4690,2,3,35,Suburb,Bungalow,1120276.132922449
1446,3,1,49,Rural,Apartment,92579.98820613814
3688,5,1,25,Rural,Apartment,274062.51370514923
3235,1,2,24,Downtown,Bungalow,1820862.669169672
1400,2,2,12,Rural,Apartment,164514.4097842767
3163,2,1,18,Suburb,Bungalow,920660.0944099325
2861,2,2,15,Suburb,Villa,1015805.1331487751
1041,3,1,44,Downtown,Townhouse,84348.87090027553
2841,5,3,16,Suburb,Villa,373529.3442015635
3624,5,2,27,Coastal,Bungalow,1270601.7357710786
3412,1,2,8,Downtown,Townhouse,697729.1683061532
2163,1,1,46,Suburb,Bungalow,207830.07042147312
2278,2,2,25,Downtown,Townhouse,1104006.210165016
3356,1,2,17,Rural,Townhouse,487457.23904456024
1575,3,3,29,Suburb,Townhouse,322290.94210618176
4814,5,2,8,Coastal,Townhouse,1545890.285252012
834,2,3,15,Suburb,Bungalow,200253.46933485483
3952,1,1,27,Downtown,Townhouse,536146.827103566
2755,3,2,46,Downtown,Townhouse,476924.07508806384
2385,3,3,7,Suburb,Villa,491278.6756099527
4743,1,1,3,Coastal,Apartment,990462.6140513013
3873,5,2,29,Coastal,Apartment,968610.1484992477
1821,1,1,44,Coastal,Villa,395754.56383937894
4261,2,2,24,Downtown,Villa,1772430.5909911473
3413,1,1,3,Suburb,Bungalow,754416.011414417
4643,3,1,20,Rural,Bungalow,336746.4067717301
2300,1,3,46,Downtown,Bungalow,566485.6695613326
961,5,1,15,Coastal,Villa,227133.46324432114
2781,4,2,25,Suburb,Villa,378932.57548998646
1795,1,2,30,Coastal,Townhouse,186745.54977575524
4142,5,3,14,Rural,Bungalow,570513.1899482037
4598,5,2,7,Coastal,Bungalow,2274694.5338427653
2075,3,2,17,Coastal,Bungalow,478718.69844863005
1816,5,2,44,Rural,Apartment,96076.93916578662
1137,5,1,20,Suburb,Townhouse,233849.33816222494
1678,5,1,36,Downtown,Bungalow,316006.26119920705
1876,5,2,9,Suburb,Bungalow,689230.326576648
4793,2,3,38,Rural,Bungalow,604228.5137659886
1179,2,1,48,Coastal,Apartment,143702.63397891025
1292,3,3,22,Suburb,Apartment,182355.90836256012
2862,1,2,2,Downtown,Villa,910163.5926998226
4684,5,2,24,Rural,Townhouse,663946.4630563096
864,1,1,8,Suburb,Villa,202734.06963082714
3368,1,2,11,Downtown,Townhouse,1856905.5604148628
2827,3,1,13,Rural,Apartment,173068.17910732597
3495,5,2,17,Downtown,Bungalow,1449420.5184677227
2295,5,2,8,Rural,Villa,558699.9617627204
1191,4,1,21,Coastal,Bungalow,140782.11686076818
4361,1,1,18,Suburb,Villa,912944.8174040284
3078,1,1,30,Downtown,Apartment,889218.0682082938
3899,2,2,18,Rural,Apartment,574927.845956639
1000,4,2,46,Downtown,Apartment,127725.14042455963
3904,2,3,47,Downtown,Villa,1692338.943167027
3254,2,1,31,Suburb,Townhouse,787443.4254600448
4445,2,2,38,Coastal,Villa,1903470.7413879153
1604,3,2,32,Downtown,Townhouse,216538.19141317514
3531,3,1,11,Rural,Villa,970418.7930243142
3573,2,3,45,Rural,Villa,349278.0020404074
2370,4,1,25,Coastal,Apartment,739631.5655164686
3490,1,3,33,Rural,Bungalow,453945.3363252096
4640,4,2,38,Coastal,Bungalow,565708.618885873
1828,5,3,41,Rural,Townhouse,227179.5373278363
1302,3,2,8,Suburb,Bungalow,241604.25832397974
1670,1,1,11,Downtown,Villa,1445755.1665989696
1006,1,1,22,Suburb,Villa,401434.0507961832
2284,5,1,24,Downtown,Apartment,660619.5430131548
1663,5,3,41,Downtown,Apartment,156523.21310554183
3590,2,2,17,Downtown,Bungalow,1842432.7117497076
1363,3,1,12,Suburb,Townhouse,118496.01216372913
4991,3,1,46,Downtown,Bungalow,496930.84304372635
2557,4,2,32,Suburb,Bungalow,656697.264239129
2478,2,1,15,Coastal,Bungalow,511303.3905968409
4042,2,2,16,Rural,Bungalow,563830.9303728228
1859,2,2,22,Rural,Villa,553499.7575993342
2522,2,2,28,Downtown,Townhouse,575428.5667257116
4114,3,2,20,Suburb,Villa,748220.5819544133
3957,3,2,33,Rural,Townhouse,668982.5351682995
3425,2,3,10,Suburb,Apartment,249089.5865238342
3529,4,1,40,Suburb,Bungalow,752466.807902206
2397,1,3,32,Downtown,Villa,1574037.9337966575
3860,1,1,33,Rural,Townhouse,643136.0565021257
3493,4,3,2,Downtown,Apartment,1296344.9180811003
4427,2,2,33,Downtown,Apartment,702683.1350363968
2163,3,1,33,Rural,Bungalow,192949.27300266508
2781,1,1,41,Rural,Townhouse,378955.3860407616
2463,5,3,13,Coastal,Villa,1510700.0659513352
2329,5,3,30,Coastal,Bungalow,667493.1320234723
2838,4,1,33,Suburb,Villa,391026.5315040589
4102,2,3,13,Rural,Apartment,217601.99085832894
3037,1,3,26,Coastal,Villa,472848.724867522
2106,2,3,22,Suburb,Villa,662223.8027472005
4829,1,2,39,Suburb,Bungalow,694834.6364726854
3475,4,2,2,Suburb,Villa,1636784.4695709676
2082,4,3,38,Coastal,Bungalow,674523.8553663116
1509,5,3,39,Rural,Apartment,68237.53475048125
4548,2,2,26,Downtown,Bungalow,1918659.7178579236
1463,5,2,46,Suburb,Bungalow,190630.18271743917
2798,2,1,15,Coastal,Townhouse,849937.5509847809
4245,5,1,34,Coastal,Villa,1727402.5160230943
4543,3,2,42,Downtown,Apartment,1168865.365370694
